user,item,rating
ORG434DEME9XXDMWFWCW3SQJ91Z42,MobileCaseCover,2
ORG6F8GK7MW9BCWMZ8HNDF46QCEJ6,Smartphone,1
ORG77SZS8X3EBQ61FR62R9Z69YX91,MobileStandAndHolder,3
ORG7N1CC1ZK40C9YF4QGMHDWY9E6F,OTGPendrive,3
ORGGHGMHW6H6B8S24M3VTZW3XX967,Headphone,2
ORGK3NN67PCMP8Y1GCNWQ9GD72YPM,MemoryCard,1
ORGM46GT0P9HQC0GFTC3CT1ZNT1X0,Headphone,1
ORG065BV0ZEBZQ1ZF4VJXZMBX1GH7,MobileBattery,3
ORGB09ZCXV0NSCX7GCJ7LGJ39CBXM,Mobile,2
ORGEQBHRP6RMXDD8ZQWM31MPPRWR2,Smartphone,1
ORGF8N7HELGGVDEE44GN3V2K8TREL,Spycamera,4
ORGFZ3RKQT3QVDHZG1QBC592M43YV,Headphone,4
ORGN90DG1Y7BZD6546RZH2E17HT8D,Headphone,0
ORGX835HCF902C4CGSF36NQ1WKWTP,MobileCaseCover,4
ORG02JR0M1TY2Q5YG3340KC27M8Y4,MobileCable,3
ORG6RDV3JSVGZC7FFTQSYT7DP606S,Mobile,4
ORG7SYJNEZ1EVQDGZH6DGQRTNR5T1,Mobile,1
ORG7WNB66V35M81YGTT07WLRN2EN5,Pendrive,2
ORGGLXC43CCPTDQ0ZN37JHCC5S16X,RefurbishedSmartphones,4
ORG0V4YD6RZCZCNGGYR0VQYRQCWLX,Speaker,2
ORG29KB3QKY4M82N4N3B3RCYRRGCR,MobileCharger,3
ORG2WMB3T5X128XPGZ3LFBBKLD9Y2,Smartphone,4
ORGB0MJXE3LBZ8G5GDNP5VEZGXS6J,MobileScreenGuard,1
ORGBHES6SX3SXDF0F3Q32RKFRJ9ER,MobileCaseCover,4
ORGE5QE4VB0W0DWQZRXE9P68XS194,Smartphone,3
ORGES0WXSB1SV8ZDGCK95VH9NFNYC,Headphone,0
ORGG0MMZ1B6QS8PVGPT4FCTJ0HRQL,MobileCable,5
ORGG23CKCV7HBCMWZKFNVY0DWKVW7,Mobile,3
ORGKQ8FYTVPQPQ1EGN7RKVG6GSN2M,MobileCable,3
ORGLSWSLDV4FTQCGZ5JCHD0KP20M7,Mobile,4
ORG15S4WHNMDJQ85ZJWS8QC7JKDWE,MobileCable,2
ORG1TGQG6RXH5DQBFE9007VD3NGB1,MobileCaseCover,4
ORG66L5DG98NZ87Z4CPFW9ZVFXLVJ,Smartphone,3
ORG7XJX6YH5ZSQ59F6XRZWVV2Y1Q2,MobileCaseCover,2
ORGBCR6CFMG3PD5FFG71VHM9MQR5S,MobileCable,2
ORGF8505Q97TND1TG59TTBYQR0P2L,MemoryCard,2
ORGGKF7YJ431MQKBZKMMFM83V11Y2,Trimmer,3
ORGLNK4X2DXKF81QZD4077N5020Z4,MobileStandAndHolder,4
ORGMHK44CKLSZD15GG461XZ8TZQPR,MobileScreenGuard,3
ORGZR9DHR6SSTQ47GKJCHF79S48W4,MobileCharger,3
ORG1TGQG6RXH5DQBFE9007VD3NGB1,Headphone,4
ORG28JDBVFPK5QFDFCRMQ34J7C06N,MobileCaseCover,1
ORGB1TG164BS2830ZRNBCJ5ZK8RJF,MemoryCard,0
ORGBVRFXLNNFXCVMF0Q22SXKESFHM,Headphone,4
ORGM5C0QDQHH087YF53XWDYE2EELS,MobileCaseCover,0
ORGZ37FW2TB22D04G1TMSET8XPYXL,Mobile,1
ORG0HERM6Z9H2CCX4V2RY9W9NY3X9,MobileScreenGuard,1
ORGEEQMVTMBG5Q2PGLVRLXRP1YXDK,RefurbishedSmartphones,0
ORGKRSNT8632B825GBWQQMMD04KM7,ComputerMouse,2
ORGM84BDJMMPZ82FZMMDESFL89355,MobileCaseCover,4
ORGNEKFTLN7CNCS8GTGZT1E7GFMJZ,Powerbank,3
ORGZ62D260XRZQDQG400R0L3D906V,Smartphone,4
ORGZRD3DFT8RJCP4GW85T2Y39WHGC,MobileScreenGuard,2
ORGB9HBS8JJ9BC0QZTS1LP8QC9W09,Powerbank,1
ORGED5JNGV0J0D8P429EJDE5691RL,Headphone,4
ORGGS6TD1V7C58Z1GMNFK0EBH9XY7,Mobilereparingtool,3
ORGXNXVFZZ29BQH0FL1RVXHMDY4F6,Smartphone,1
ORG01H8BWYT80QZQFYSCFZSCBQY9N,MobileBodyPanel,4
ORG025GTH9T7T8LSFHE5XK8ST0WVM,Tablet,1
ORG0EGTW0XGFPDKGFNRYR8QED7LSE,MobileSIMCutter,2
ORG1XNT9YB08QC7ZGGH2X937YTYNP,Headphone,1
ORG2G3HRGMCK08DL4LZHVQV6TB4H1,NetworkRouter,3
ORG45QNYHL2J0Q06GLZP5FBLSLL6D,MobileCaseCover,3
ORGBVQTKFLB9FDYHGYEKVL57TBCBL,MobileCaseCover,1
ORGBZWN7WJLENDXXFVH5G5ED4R9RE,MemoryCard,2
ORGMDBMQ65PG2Q6HZGSB9C8R09PM6,MobileCaseCover,1
ORG0J3H4RQFV5C4FF3918K4PN21DB,MobileCharger,4
ORG0VV6YV01K08KXZWXRBW9L20H08,Headphone,1
ORG1XC1RKN6FT8SQZFZH8Y2N1FCJ4,Mobile,2
ORG65JZ1VVMTCDM2GM6V7VLED74D7,Mobile,3
ORG66D691YK5VDX0Z9NVK6TDBGMWT,Powerbank,4
ORG7XEY9G9SGBC4HZQ77TG7NVBSG3,MemoryCard,3
ORGBNYBDQ88XC86HFK7CP2Q2B5BPH,Smartband,1
ORGBQH5QTD042QJB4PVKFCZJ6DE91,MobileSpeaker,3
ORGEYTEW3NE0X8BEZXM7BZY696QTM,Headphone,2
ORGEZPJG8ZKP28JXFJKHEJ7GLW8ES,MobileCaseCover,0
ORGFH563L4H20872G4896Y7PQ5GN8,Smartband,1
ORGKRSNT8632B825GBWQQMMD04KM7,Ethernetadapter,4
ORGMPT7KNQTZVDYV41VB9L2M4WVT2,Smartphone,1
ORG01HFNRN7D28Z6ZWQQ7H7XGCX44,MobileScreenGuard,4
ORG06QTHBYZ8J8B5GMB7PSLJCR1DP,MobileCharger,1
ORG0WCX2TWSLZDD84ECLMTJ0C79F3,MemoryCard,2
ORG4NFGHZS94B85KF2P9QFH3ZPL7K,Mobile,5
ORG7MC67HDTBPCN1FNHBX463TBPSQ,MobileCharger,1
ORGF8194816WFCGXG3JZR8GM6EZJ1,Headphone,2
ORGN2F6JXJXKC86DGXF5DRY607L8B,MobileCable,4
ORGNHSPCYBZHPD8TG0W8C73HJ6RRS,Headphone,1
ORG2WV97CRC3QCJWFVQZ22JE2WYLV,MobileScreenGuard,3
ORG4K9XBXL8HBC3B4173S2P1R8G8V,Headphone,0
ORG4P9S13DK5XDK4G4MC3HQJX78HH,Headphone,1
ORGB75VFR0L6BCLB4Z46YLY3HWG95,MobileCaseCover,0
ORGEYHV2S0HCZC4Y429HK7LJ4P3WJ,Mobile,5
ORGNBQJ8DK235QH3Z08RRS8NTFQ2N,Trimmer,3
ORGZG22Q233Y0C6FF2LQSCMLBYRJB,Headphone,2
ORG1FKJVM85FF8RPZBCR5CL1MLERM,Mobilereparingtool,2
ORG7QNYWYYR6NCGVZRSSQDMPTHF6L,MobileCaseCover,1
ORGEF103BJMZ2CTVZXCNGXVNCYNX8,Mobile,1
ORGFCD94X6CB5CK14W5L3REF2HJ74,MobileCharger,0
ORGXDXMF183GJD5BF4ERVHR891FQ7,MobileCable,4
ORGXH5N0HGRWBQ05ZG3C2BGWP8HL2,Karaokemicsandplayer,0
ORGZLEPN3BKKTD02FNDLXQWXF374G,Mobilereparingtool,1
ORG2G3HRGMCK08DL4LZHVQV6TB4H1,CCTVcable,5
ORG6DKQMJYF3PDV64XLKW4Q49DY85,MobileScreenGuard,3
ORG6TFPBGERMXCS3F7N1NSXWFTCWR,MobileCharger,2
ORG6XHWGSNCEB8V643EC2YB7LYVLF,Headphone,1
ORGE2RP03NQC0DD7FF8KZJ3L50TKR,Computercable,1
ORGFH563L4H20872G4896Y7PQ5GN8,MobileCable,4
ORGNX01BN86SFDHMGCGF4YMHZ5STF,Mobile,1
ORG1GNH4WDWBC8FKZCZL8VNW7T0D2,Mobilespareparts,0
ORG1P64XZDNV2CJXGW06QVHT7T6ZB,Mobile,3
ORG24PG6QG6Y0CQ7F2ZK2WS5VMGQ7,Mobile,1
ORG6W56JH60FNDW9FEWF7FCB75BXX,Headphone,1
ORG76GRDNECZBCE24KQXM71WCZ4JB,Smartphone,1
ORGB0YQDS9HSMQW2Z2885FQH4Y2WQ,MobileCaseCover,3
ORGLJJX9R9JRC89K4GPV6RDB20ML2,Mobile,4
ORGMPT7KNQTZVDYV41VB9L2M4WVT2,MobileBattery,4
ORGMTBL09MW9JDYF4JNGFHFCQHP24,RefurbishedSmartphones,4
ORGZ34H0TPY3FQ41FHZE4756GC6VE,Pendrive,3
ORG03VSKK8LV58XMZ9BZLBB6BJ4T2,ComputerKeyboard,5
ORG7K437ZT8KQDXS4JRVN5JDCC9HH,MobileStandAndHolder,2
ORGBN82KZ62WTQB0Z63S48T19M54P,MobileSpeaker,3
ORGEC8YW5M8X0DM64VC2208ZFBKH6,Mobile,4
ORGFE9K2CVD1SD70F2QPE5KQVR7QM,UsedSmartRefurbishedphones,3
ORGK5KKE29LD0DCYFXWL5HHE7RKBZ,OTGPendrive,0
ORGLJ69BFRV8S8J2ZXNSB33K8TTK2,Smartphone,3
ORGMSS443ML4TCPYZG9TXKLGKEJEN,Headphone,1
ORGN2PMJDKY7SDPDZTNNPXGSB0KL6,ComputerKeyboardMouseCombo,3
ORGN90XQZSPGB87XFT0JVW4EXZZ02,SmartWatch,4
ORGZVRXF804VZQ1M4D8Z0Z822XFZ1,MobileCharger,3
ORG2LG0Z09RB08Q1GSP5379DFGSLB,Mobile,3
ORG4MMW4PF7WJ823G355ZPX5X64WM,Mobilespareparts,1
ORG66DHMTVC35Q8JZW08EHXX5ZFH6,MobileCable,5
ORG77VQKRBDWFCS3G8E97T0SRBZCZ,MobileCaseCover,1
ORG757CHWD2T0QPNZ8PT0DTFHY0VT,Mobile,5
ORGEXVPL0RF0Q8E3ZB20CS363HSJK,Smartphone,0
ORGFBQHX75JFVQ2RGQLDSWQCQD3Y0,ComputerMouse,3
ORGFWEZ3FM9T0DTRF568V2S718SGT,MobileCaseCover,0
ORGG3D1CCBCLNCF6ZE60KRT7ZZE7D,SmartWatch,4
ORGKHMCQBSTGBQX541KFNXDBWW2X9,MobileCable,3
ORGLGXCWX44RX84QF48PWKXLGYT3K,MobileCharger,0
ORGMEVD4W8Y25CMTGWN34PWYWNDKV,MemoryCard,0
ORGX0Z9KY566PC2JFCZ9P2CPFYVVZ,HardDriveEnclosure,1
ORGX81V3YKMEXCRSZY7MEKVVLTPEF,Smartphone,4
ORG05YM8J9KNJCJ14HH1XMMXWM1FG,Smartphone,3
ORG0G6M0E2R708ZJFKQRCQ4R6QK9J,MobileScreenGuard,2
ORG1F4KGRWZJ5QW84KBHWZJE8HXJW,MobileCaseCover,3
ORG26X40MF29FQBPZ83MLM8QM2897,MobileCable,3
ORG64N8RJX9QMCW54T0RB2MJRXGJD,CCTV,3
ORG7FBNG7ST0Q8Q2GY2DCDS4WCPCK,Powerbank,4
ORGB4SSZWHE4ZQX34TK05LBPQZL3E,Smartphone,4
ORGNR5MMKRB4NC654NXDKHYC5EYFP,MobileCharger,0
ORG03HBZGHBYSQP84HQSY0ZLRRL99,Headphone,3
ORG1L11LMDKFFDMHZTGWVH3Q4444S,Mobile,1
ORG28B5YJZNSJQGTGY2J1JCFY9C6H,MobileACCSelfieStick,3
ORG66DHMTVC35Q8JZW08EHXX5ZFH6,OpenBoxSmartRefurbishedphones,4
ORGB8FEE8Y97XQE7GE29JQ79ESDHS,MobileCaseCover,2
ORGBBQCWFQHMJDTB4L8202EDZH2XZ,Smartphone,5
ORGE346RLG5BZCLGF2ERN4YH8EZLH,MobileEnhancement,2
ORGEHNZP2EKGVQ4CFLSV9KY164RNN,Headphone,1
ORGK321XVB76JC7JZ3TM0WLCQ2WVC,Processor,3
ORGKW52FSM9XFCRWGV2YH13L7MTXQ,MobileCaseCover,4
ORGMML5EF956QCSCGDN6W2N71RQPG,CameraLens,5
ORGN7R2WLZDM0C6RF61W55V7RRXRQ,Smartphone,3
ORGXPW7G2P2STQ5FG0Q896MB812RS,MobileCaseCover,5
ORGXYDSZGGZ9T885FVT4ZPSHY5JBK,Mobile,3
ORG16K2C93540DJV4W2P2X3QVN907,Smartphone,1
